ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3
5.28,5.09,4.48,-1.91,0.38,1.02,7.52,6.48,-0.45,0.36,0.13,-0.3,0.95,9.48,-0.53,0.01,0.03,0.05
1.57,6.71,0.6,2.08,0.06,-0.07,7.3,6.64,0.72,-0.46,0.35,0.16,0.39,9.46,-0.99,-0.11,0.17,-0.04
1.74,8.98,-1.39,-0.39,-0.02,0.22,7.67,6.3,1.15,-0.03,-0.07,-0.14,0.69,9.48,-1.21,0.05,0.09,-0.01
2.27,7.63,1.61,-2.01,0.19,0.25,7.66,6.58,0.49,0.44,-0.24,-0.22,0.91,9.41,-1.29,-0.07,0.04,0.08
1.71,4.83,5.29,-2.58,0.6,0.27,7.41,6.69,-0.06,0.5,-0.31,-0.3,0.88,9.2,-0.69,0,0.15,0.05
1.57,4.67,2.67,2.82,-0.27,-0.07,7.02,6.52,-0.25,-0.62,0.33,0.34,1.16,9.59,-0.44,-0.01,0.15,-0.05
2.08,7.59,-0.77,1.74,-0.31,-0.02,7.23,6.73,0.57,-0.39,0.07,0.05,1.12,9.32,-1.41,0.1,0.06,0
1.4,7.98,-0.95,0.43,-0.33,0.07,7.23,6.1,1.08,-0.14,0.25,-0.04,0.97,9.59,-1.48,0.08,0.14,-0.05
1.17,8.44,1.21,-1.91,0.1,0.02,7.38,6.85,0.36,0.55,-0.51,-0.22,1.06,9.57,-1.79,0.12,0.05,0.19
2.05,5.65,4.83,-2.41,0.25,0.23,7.29,6.32,0.45,0.45,-0.29,-0.18,0.87,9.95,-1.25,-0.03,0.09,0.05
3.06,5.5,2.94,-2.36,0.03,0.49,6.82,7.3,-2.56,0.05,0.1,-0.43,0.57,9.45,0.27,-0.03,-0.06,0.03
2.55,7.95,2.79,-1.02,0,0.17,6.5,7.09,-2.63,-0.04,0.03,-0.26,0.4,9.65,0.59,0.05,0.04,0.02
2.01,7.83,4.34,-0.17,-0.3,-0.01,6.31,7.26,-3.11,-0.03,-0.11,-0.1,0.87,9.5,0.46,-0.05,0,0
1.39,7.36,4.16,0.96,0.01,-0.1,6.27,7.22,-2.96,-0.2,-0.01,0.13,0.65,9.68,0.22,-0.03,0.06,-0.03
1.68,4.42,5.49,-2.34,-0.69,0.3,6.44,7.48,-3.65,0.23,-0.23,-0.33,0.69,9.53,0.55,-0.01,-0.01,0.05
1.97,7.76,3.86,-0.94,-0.09,0.11,6.28,7.24,-3.14,-0.02,-0.11,-0.17,0.68,9.63,0.44,0,0,0
1.56,8.11,4.15,0.26,-0.07,-0.05,6.47,7.41,-2.82,-0.15,-0.08,0.01,0.52,9.6,0.28,0.03,0.06,0.02
0.99,6.72,4.42,-1.52,-0.34,0.19,5.57,7.34,-3.19,-0.01,-0.02,-0.36,0.96,9.54,0.47,0.01,-0.09,0.02
2.23,7.04,4.24,-1.14,-0.53,0.22,5.8,7.47,-2.65,0.02,-0.15,-0.33,0.14,9.63,-0.03,0.04,-0.14,0
2.35,7.69,3.26,-0.87,-0.33,0.28,6.08,7.33,-2.43,0.02,0.03,-0.32,0.38,9.56,-0.03,0,0.02,0.02
3.09,8.25,2.95,0.25,-0.06,-0.08,6.68,7.25,-2.25,-0.13,-0.03,-0.02,0.25,9.66,-0.33,0.04,0.04,-0.01
2.63,8.17,3.59,-0.46,-0.13,0.14,6.49,7.34,-2.6,-0.03,-0.04,-0.14,0.66,9.48,0.37,-0.02,-0.02,-0.02
1.72,8.17,2.93,0.57,0,-0.2,7.2,6.72,-2.61,-0.2,-0.13,0.02,0.11,9.59,0.44,-0.02,0.01,-0.03
